protein	Z	P	n_snp
X3220.40	-2.517530821948521	0.011818062892931124	773
X3220.40	0.7119326539565074	0.4765064803435163	1010
X3220.40	-0.5929066261895598	0.5532436432670804	781
X3220.40	0.2315406634600335	0.8168947986878319	1013
X3220.40	1.3695099904217412	0.17083991408328714	443
X3220.40	2.9232878771426334	0.003463561301143515	760
X3220.40	-0.3047796325602075	0.760533994826356	1115
X3220.40	-1.0149565711982762	0.31012652972700094	1002
X3220.40	-2.4347120446533848	0.014903644730132072	1000
X3220.40	0.9322768693930141	0.35119345836687565	908
X3220.40	-1.6900102777456818	0.09102598838772863	751
X3220.40	-1.9204539690384048	0.054800582145795904	629
X3220.40	-2.4379186950944294	0.014772096090513758	994
X3220.40	0.4157647272239939	0.677582171976838	635
X3220.40	-0.6214101638633657	0.534329786329161	785
X3220.40	2.65757674319475	0.007870466890971197	590
X3220.40	-0.16700550555497357	0.8673657169596997	695
X3220.40	-2.6507955831156917	0.008030242694403613	1226
X3220.40	-1.4232072916061171	0.15467607247522872	499
X3220.40	2.15267641351688	0.031344118439926565	439
X3220.40	-0.9390451004928813	0.3477075891212905	897
X3220.40	0.08304676852709024	0.933814352115107	738
X3220.40	-0.40289869211938373	0.6870227535249389	948
X3220.40	0.21004620583445494	0.8336316103069061	309
X3220.40	0.4451168345115761	0.6562353236301208	743
X3220.40	1.2632154986902637	0.2065117444054918	607
X3220.40	0.2247543347538691	0.822170392751338	893
X3220.40	0.33698774966812517	0.7361261349057004	801
X3220.40	0.6665694421806648	0.5050471934431502	1130
X3220.40	0.046775050077552574	0.9626925144157682	906
X3220.40	-0.2474186795887869	0.8045842192725181	593
X3220.40	0.3931199557041818	0.6942308857045426	847
X3220.40	-0.4143509685886202	0.6786170917671499	1292
X3220.40	-0.6163678869753634	0.5376517428552137	555
X3220.40	0.08718108102073435	0.9305275772502645	905
X3220.40	-0.9957597629980331	0.31936688482808173	1129
X3220.40	1.4451094188328444	0.14842715377088309	790
X3220.40	-1.5951656128943095	0.11067520620061477	872
X3220.40	0.8531629871622673	0.39356892573424596	775
X3220.40	-3.031925689857732	0.0024299901713154	542
X3220.40	0.6383685879833282	0.5232337737743569	481
X3220.40	0.5106149055117495	0.6096207365500912	1051
X3220.40	-0.5638731600395344	0.5728404574279302	1250
X3220.40	1.0978113500033702	0.27228687429324505	943
X3220.40	1.2975182317903842	0.19445293615606496	918
X3220.40	-0.6553648156595867	0.5122328989343352	718
X3220.40	0.4112320862158961	0.6809023627567806	602
X3220.40	-0.10347351203275873	0.917587170968727	978
X3220.40	0.009981655238174679	0.9920359236424787	710
X3220.40	-0.7803605746475888	0.4351786671542287	955
X3220.40	-2.2380044057766577	0.025220767818771445	1216
X3220.40	-2.495384252704927	0.012582079691126116	1493
X3220.40	1.169109192039523	0.24235964092554185	544
X3220.40	-0.3381006887036299	0.7352873115636753	1041
X3220.40	-1.5290792521410654	0.12624479815056028	800
X3220.40	-0.2755783354709473	0.7828719513421301	840
X3220.40	1.1821931452970806	0.23712907188580423	1069
X3220.40	3.0556648643693114	0.002245621067045225	710
X3220.40	1.5121176434533263	0.13050393718401354	828
X3220.40	0.4520528884166677	0.6512308818782695	945
X3220.40	-1.824217239039029	0.06811923639141897	314
X3220.40	-0.9167031129496008	0.3592982344290512	942
X3220.40	-1.3662598606315581	0.1718574148348877	940
X3220.40	3.5882115076934338	0.0003329541410592185	1166
X3220.40	1.6186304775364733	0.10552679347196582	863
X3220.40	1.9639993580258417	0.0495301663577404	889
X3220.40	-1.013831473333761	0.3106631744792808	903
X3220.40	2.5225089244102263	0.011652099347719502	750
X3220.40	0.29487779280765714	0.7680872368208568	1018
X3220.40	1.8758252088443437	0.06067928523930897	1039
X3220.40	-1.3901751635270687	0.16447569339337376	522
X3220.40	-0.9102512998458202	0.3626899954087942	783
X3220.40	-0.39468237703106035	0.693077310206742	785
X3220.40	-1.0850110018388321	0.277916782546353	243
X3220.40	-1.7308663819224288	0.08347559885298342	645
X3220.40	-1.1139347996057278	0.2653071588893573	799
X3220.40	1.2496209686662367	0.21143803958876062	636
X3220.40	1.5517170224438945	0.12072994782472196	1074
X3220.40	0.8980611888148802	0.3691529288778116	639
X3220.40	1.5219217770501587	0.1280286818623501	1051
X3220.40	1.734689067069381	0.08279589382743745	650
X3220.40	3.8541528779801193	0.00011613101747959757	564
X3220.40	-0.08333259119867746	0.933587086380089	654
X3220.40	-1.3401482651458858	0.18019714721913216	825
X3220.40	2.443120857988878	0.01456086017214934	688
X3220.40	1.5251281640823862	0.12722713367442373	1023
X3220.40	0.811072948300864	0.4173237798119841	754
X3220.40	-0.7558724639003551	0.44972566492536203	469
X3220.40	-0.16491466890330103	0.8690111463745668	914
X3220.40	2.4126482550289765	0.0158370951423726	863
X3220.40	-0.16057705696982688	0.8724265262602153	961
X3220.40	1.6753019370322817	0.09387500559461665	1255
X3220.40	-0.5454146982335709	0.5854683337150528	1135
X3220.40	1.5759659071737755	0.11503366044526812	855
X3220.40	1.2010772026117356	0.2297212553487462	1144
X3220.40	-0.5239764049771933	0.600294951040121	989
X3220.40	1.4024999379362366	0.16076600902564997	569
X3220.40	1.1080916946710129	0.26782221744422796	1273
X3220.40	-1.2034557427866435	0.22880000794689292	1036
X3220.40	0.8678523606640364	0.38547516142447324	909
X3220.40	-0.03551499421632559	0.9716690902623082	848
X3220.40	-0.909087368457026	0.36330400968012666	913
X3220.40	0.4787982087195861	0.6320821911376686	626
X3220.40	-1.3124932810908063	0.1893537515778696	659
X3220.40	0.442441813802569	0.658169526882183	636
X3220.40	-0.8684764876707859	0.3851335384231339	599
X3220.40	-0.7961737079770995	0.4259310771503144	1447
X3220.40	-2.7503628363242	0.005952930811790741	772
X3220.40	0.844390119573583	0.3984514417402881	1129
X3220.40	-0.6150096069559845	0.5385483759744643	833
X3220.40	0.5116337041458576	0.6089073923947084	787
X3220.40	-1.4951063001498617	0.13488670192127789	566
X3220.40	0.4443606256435129	0.6567818759163517	1235
X3220.40	0.24931479591802894	0.8031172871248953	1136
X3220.40	2.161780509550401	0.030635098498434373	571
X3220.40	-0.9254754144641822	0.3547186665332772	643
X3220.40	-1.213492618915301	0.22494153467323852	1440
X3220.40	2.1917413217783674	0.028398190212793096	710
X3220.40	-0.9571831764620403	0.3384748069943563	589
X3220.40	-0.4605358834532522	0.6451316211871501	818
X3220.40	-0.2232220688712657	0.823362676764138	1114
X3220.40	-1.2721904375167892	0.20330546437699926	698
X3220.40	2.0501325724570214	0.04035149561367637	920
X3220.40	-1.6760901847661547	0.09372052901857811	924
X3220.40	-1.9134112173597695	0.05569542948028456	1001
X3220.40	-0.3986032225647653	0.6901855867384443	1185
X3220.40	0.8476448493717523	0.3966357890886276	682
X3220.40	1.576681242715863	0.11486888849557851	1040
X3220.40	0.01749653195005841	0.9860404995268812	772
X3220.40	-0.35504832957174676	0.7225533850029949	613
X3220.40	1.4667112851249149	0.14245461164418835	273
X3220.40	3.1184703959842355	0.0018179240382751535	689
X3220.40	-0.3612512937923926	0.7179116004979808	644
X3220.40	0.29688936179417824	0.766550978258026	803
X3220.40	-1.3956836581916028	0.16280977751463344	1074
X3220.40	2.054108536783196	0.03996518800236036	1126
X3220.40	-0.5737910203108256	0.5661092260111831	1149
X3220.40	-0.38439371026450164	0.7006866616026238	938
X3220.40	-0.3211923729964455	0.7480646116612633	658
X3220.40	-0.6279261346565266	0.5300523295237409	1116
X3220.40	-2.3387669137461256	0.01934749994633396	602
X3220.40	-0.4878187337480707	0.6256782407421271	790
X3220.40	-0.37419969618009186	0.708255750017112	790
X3220.40	0.7289817693259664	0.4660128142759252	841
X3220.40	-1.4194278312863378	0.15577432321358856	986
X3220.40	-0.026352628011255746	0.9789760783836801	901
X3220.40	-2.212343214307034	0.026942959315051997	1235
X3220.40	1.1216089960041125	0.2620287249993195	1087
X3220.40	-0.3104366646372087	0.7562289160340028	1351
